first_name,last_name,gender,street_address,first_visit
John,Skinner,FEMALE,63 Old Nectar Ridge,06/25/2013
David,Reynolds,FEMALE,1415 Blue Hills Heights,05/17/2013
Rodney,Calloway,MALE,97209 Round Chestnut Swale,07/12/2013
Jose,Mclemore,FEMALE,51814 Tawny Nectar Edge,06/30/2013
Thomas,Smith,FEMALE,31135 Old Robin Vale,05/27/2013
Edward,Yokley,FEMALE,67078 Thunder Mountain Manor,02/09/2013
Shelley,Mcnichols,MALE,19263 Pied Blossom Orchard,04/07/2013
Josette,Christian,MALE,22174 Gentle Beacon Hollow,07/23/2013
Beverly,Gumbs,MALE,59879 Grand Leaf Bluff,06/11/2013
Jose,Hopkins,MALE,91014 Emerald View Orchard,03/05/2013
Michael,Healey,MALE,4785 Heather Autumn Place,05/17/2013
Rodney,Vincent,FEMALE,5041 Blue Butterfly Run,04/24/2013
Thomas,Hollingsworth,MALE,276 Foggy Zephyr Pike,07/02/2013
Tyson,Baker,FEMALE,37869 Foggy Deer Road,06/19/2013
Grace,Moseley,FEMALE,62209 Easy Pebble Orchard,07/23/2013
Jonnie,Potter,FEMALE,69251 Square Quail Isle,04/04/2013
Jennifer,Coates,FEMALE,68048 Heather Axe Run,06/18/2013
Dale,Baker,FEMALE,14831 Quiet Axe Bayou,06/25/2013
Lloyd,Brown,FEMALE,35599 Pleasant Shadow Saunter,11/12/2012
Adam,Spencer,FEMALE,3927 Jagged Lake Flats,07/04/2013
Benjamin,Mccallum,MALE,2372 Cold Holly Lane,10/13/2012
Olga,Meyer,FEMALE,22594 Pied Lake Bank,06/05/2013
Juana,Smith,MALE,14361 Lone Stone Quay,08/04/2012
Aretha,Hunter,FEMALE,11768 Cotton Fox Turn,03/30/2013
Gregory,Glaze,MALE,22489 Rose Bird Flats,06/20/2013
Bernardo,Burley,FEMALE,8111 Sleepy Dale Dale,03/12/2013
Oscar,Ward,MALE,27440 Iron Elk Pass,03/19/2013
James,Huff,MALE,33944 Amber River Lace,05/25/2013
Clarence,Dahle,MALE,97606 Quiet Blossom Chase,07/08/2013
Nicholas,Tolbert,MALE,24845 Square Goat Drive,06/19/2013
James,Clemente,MALE,2499 Cinder Elk Villa,07/02/2013
Mildred,Somers,FEMALE,25383 Grand Butternut Haven,04/30/2013
Nicholas,Harris,FEMALE,45238 Lazy Elm Wander,01/14/2013
Thomas,Whalen,FEMALE,88962 Big Beaver Wander,01/14/2013
Marvin,Cook,MALE,66521 Heather Pine Wander,07/21/2013
Victor,Mitchell,MALE,13567 Lone Bird Place,04/25/2013
Ruby,Roberts,MALE,30731 Indian Anchor Estates,07/04/2013
Shirley,Thompson,MALE,25733 Windy Goat Summit,04/16/2013
